benchmark,case,partition_count,producer_count,physical_shard_count,rows,batch_size,payload_bytes,repeat,elapsed_seconds,rows_per_second,input_mib_per_second,wal_mib_per_second,wal_bytes,wal_entries
write,horizontal_p1_prod1,1,1,1,300000,5000,256,0,10.657103,28150.240,8.813,9.579,107042912,60
write,horizontal_p1_prod1,1,1,1,300000,5000,256,1,10.923177,27464.537,8.598,9.346,107042912,60
write,horizontal_p2_prod2,2,2,4,300000,5000,256,0,6.160741,48695.439,15.210,16.566,107016192,120
write,horizontal_p2_prod2,2,2,4,300000,5000,256,1,6.129683,48942.173,15.287,16.650,107016192,120
write,horizontal_p4_prod4,4,4,16,300000,5000,256,0,3.606669,83179.246,25.916,28.256,106860928,240
write,horizontal_p4_prod4,4,4,16,300000,5000,256,1,3.341360,89783.812,27.974,30.500,106860928,240
write,horizontal_p4_prod10,4,10,40,300000,5000,256,0,1.802611,166425.285,51.782,56.482,106761664,240
write,horizontal_p4_prod10,4,10,40,300000,5000,256,1,1.808659,165868.703,51.609,56.294,106761664,240
write,horizontal_p8_prod16,8,16,128,300000,5000,256,0,1.891036,158643.217,49.407,54.042,107159488,512
write,horizontal_p8_prod16,8,16,128,300000,5000,256,1,1.818790,164944.839,51.370,56.189,107159488,512
write,trend_50k_p4_prod10,4,10,40,50000,5000,256,0,0.330851,151125.259,46.776,51.163,17749440,40
write,trend_50k_p4_prod10,4,10,40,50000,5000,256,1,0.331543,150809.849,46.679,51.056,17749440,40
write,trend_200k_p4_prod10,4,10,40,200000,5000,256,0,1.258847,158875.525,49.377,53.892,71136960,160
write,trend_200k_p4_prod10,4,10,40,200000,5000,256,1,1.267416,157801.332,49.043,53.527,71136960,160
write,trend_500k_p4_prod10,4,10,40,500000,5000,256,0,2.945868,169729.275,52.858,57.628,178012288,400
write,trend_500k_p4_prod10,4,10,40,500000,5000,256,1,2.890156,173001.055,53.877,58.739,178012288,400
write,batch_1_p1_prod1,1,1,1,2000,1,256,0,304.845483,6.561,0.002,0.011,3472000,2000
write,batch_1_p1_prod1,1,1,1,2000,1,256,1,304.061901,6.578,0.002,0.011,3472000,2000
write,batch_10_p1_prod1,1,1,1,20000,10,256,0,304.394378,65.704,0.020,0.030,9616000,2000
write,batch_10_p1_prod1,1,1,1,20000,10,256,1,303.002629,66.006,0.021,0.030,9616000,2000
write,batch_100_p1_prod1,1,1,1,100000,100,256,0,154.612447,646.778,0.202,0.227,36802112,1000
write,batch_100_p1_prod1,1,1,1,100000,100,256,1,153.424092,651.788,0.203,0.229,36802112,1000
write,batch_1000_p1_prod1,1,1,1,200000,1000,256,0,32.026918,6244.747,1.953,2.128,71463808,200
write,batch_1000_p1_prod1,1,1,1,200000,1000,256,1,33.226950,6019.210,1.882,2.051,71463808,200
write,batch_5000_p1_prod1,1,1,1,500000,5000,256,0,19.217459,26018.007,8.152,8.861,178567072,100
write,batch_5000_p1_prod1,1,1,1,500000,5000,256,1,18.571003,26923.694,8.436,9.170,178567072,100
write,batch_10000_p1_prod1,1,1,1,500000,10000,256,0,11.687746,42779.848,13.404,14.565,178506512,50
write,batch_10000_p1_prod1,1,1,1,500000,10000,256,1,11.496155,43492.803,13.628,14.808,178506512,50
