benchmark,case,producer_count,rows,write_batch_size,poll_entries,payload_bytes,decode_messages,repeat,elapsed_seconds,rows_per_second,input_mib_per_second,wal_entries_read,arrow_batches_read,polls
read,read_p1_prod1_poll1,1,200000,5000,1,256,false,0,2.518485,79412.826,24.226,40,40,40
read,read_p1_prod1_poll1,1,200000,5000,1,256,false,1,2.410740,82962.080,25.309,40,40,40
read,read_p1_prod1_poll1,1,200000,5000,1,256,false,2,2.546279,78545.979,23.962,40,40,40
read,read_p1_prod1_poll8,1,200000,5000,8,256,false,0,2.149478,93045.829,28.385,40,40,5
read,read_p1_prod1_poll8,1,200000,5000,8,256,false,1,2.232977,89566.532,27.324,40,40,5
read,read_p1_prod1_poll8,1,200000,5000,8,256,false,2,2.293210,87213.997,26.606,40,40,5
read,read_p1_prod1_poll32,1,200000,5000,32,256,false,0,2.316435,86339.583,26.340,40,40,2
read,read_p1_prod1_poll32,1,200000,5000,32,256,false,1,2.193320,91185.945,27.818,40,40,2
read,read_p1_prod1_poll32,1,200000,5000,32,256,false,2,2.302908,86846.733,26.494,40,40,2
read,read_p1_prod1_poll64,1,200000,5000,64,256,false,0,2.602977,76835.113,23.440,40,40,1
read,read_p1_prod1_poll64,1,200000,5000,64,256,false,1,2.321923,86135.519,26.277,40,40,1
read,read_p1_prod1_poll64,1,200000,5000,64,256,false,2,2.909391,68742.908,20.971,40,40,1
read,read_p1_prod4_poll32,4,200000,5000,32,256,false,0,2.434440,82154.403,24.958,40,40,1
read,read_p1_prod4_poll32,4,200000,5000,32,256,false,1,2.226350,89833.154,27.291,40,40,1
read,read_p1_prod4_poll32,4,200000,5000,32,256,false,2,2.323317,86083.804,26.152,40,40,1
read,read_p1_prod8_poll32,8,200000,5000,32,256,false,0,2.777840,71998.379,21.842,40,40,1
read,read_p1_prod8_poll32,8,200000,5000,32,256,false,1,2.642981,75672.133,22.957,40,40,1
read,read_p1_prod8_poll32,8,200000,5000,32,256,false,2,2.896004,69060.686,20.951,40,40,1
read,read_p1_prod16_poll32,16,200000,5000,32,256,false,0,4.074448,49086.399,14.885,48,48,1
read,read_p1_prod16_poll32,16,200000,5000,32,256,false,1,3.798526,52652.002,15.966,48,48,1
read,read_p1_prod16_poll32,16,200000,5000,32,256,false,2,4.154017,48146.166,14.600,48,48,1
read,read_p1_prod1_500k_poll32,1,500000,5000,32,256,false,0,8.890798,56237.920,17.192,100,100,4
read,read_p1_prod1_500k_poll32,1,500000,5000,32,256,false,1,8.952572,55849.870,17.074,100,100,4
read,read_p1_prod1_500k_poll32,1,500000,5000,32,256,false,2,8.768399,57022.952,17.432,100,100,4
read,read_p1_prod4_500k_poll32,4,500000,5000,32,256,false,0,7.954370,62858.530,19.136,100,100,1
read,read_p1_prod4_500k_poll32,4,500000,5000,32,256,false,1,8.132449,61482.091,18.717,100,100,1
read,read_p1_prod4_500k_poll32,4,500000,5000,32,256,false,2,8.236471,60705.609,18.481,100,100,1
read,read_decode_prod1_poll32,1,200000,5000,32,256,true,0,2.610761,76606.013,23.370,40,40,2
read,read_decode_prod1_poll32,1,200000,5000,32,256,true,1,2.655597,75312.633,22.976,40,40,2
read,read_decode_prod1_poll32,1,200000,5000,32,256,true,2,2.511531,79632.687,24.294,40,40,2
read,read_decode_prod4_poll32,4,200000,5000,32,256,true,0,2.686005,74460.012,22.621,40,40,1
read,read_decode_prod4_poll32,4,200000,5000,32,256,true,1,2.622858,76252.706,23.165,40,40,1
read,read_decode_prod4_poll32,4,200000,5000,32,256,true,2,2.566059,77940.530,23.678,40,40,1
