benchmark,case,partition_count,producer_count,physical_shard_count,rows,batch_size,payload_bytes,repeat,elapsed_seconds,rows_per_second,input_mib_per_second,wal_mib_per_second,wal_bytes,wal_entries
write,single_p1,1,1,1,200000,5000,256,0,2.462685,81212.161,25.395,28.379,73282752,40
write,single_p1,1,1,1,200000,5000,256,1,2.584463,77385.524,24.198,27.042,73282752,40
write,single_p1,1,1,1,200000,5000,256,2,2.639548,75770.541,23.693,26.477,73282752,40
write,single_p2,2,1,2,200000,5000,256,0,2.187024,91448.455,28.596,31.976,73328192,80
write,single_p2,2,1,2,200000,5000,256,1,2.318510,86262.303,26.974,30.162,73328192,80
write,single_p2,2,1,2,200000,5000,256,2,2.310371,86566.177,27.069,30.268,73328192,80
write,single_p4,4,1,4,200000,5000,256,0,2.445032,81798.526,25.578,28.643,73435136,160
write,single_p4,4,1,4,200000,5000,256,1,2.110878,94747.301,29.627,33.177,73435136,160
write,single_p4,4,1,4,200000,5000,256,2,2.677060,74708.830,23.361,26.160,73435136,160
write,single_p8,8,1,8,200000,5000,256,0,2.189598,91340.961,28.562,32.079,73652288,320
write,single_p8,8,1,8,200000,5000,256,1,2.533699,78935.976,24.683,27.722,73652288,320
write,single_p8,8,1,8,200000,5000,256,2,2.229137,89720.822,28.056,31.510,73652288,320
write,single_p16,16,1,16,200000,5000,256,0,2.296239,87098.935,27.236,30.742,74020672,640
write,single_p16,16,1,16,200000,5000,256,1,2.262673,88391.025,27.640,31.198,74020672,640
write,single_p16,16,1,16,200000,5000,256,2,2.443533,81848.714,25.594,28.889,74020672,640
write,scale_p4_prod1,4,1,4,500000,5000,256,0,5.451579,91716.547,28.738,32.180,183954368,400
write,scale_p4_prod1,4,1,4,500000,5000,256,1,5.370774,93096.454,29.170,32.664,183954368,400
write,scale_p4_prod1,4,1,4,500000,5000,256,2,5.880595,85025.409,26.641,29.832,183954368,400
write,scale_p4_prod2,4,2,8,500000,5000,256,0,3.604971,138697.387,43.400,48.666,183960960,400
write,scale_p4_prod2,4,2,8,500000,5000,256,1,3.361572,148739.913,46.542,52.190,183960960,400
write,scale_p4_prod2,4,2,8,500000,5000,256,2,3.505117,142648.582,44.636,50.052,183960960,400
